4,130,111
4,130,111
6,152,154
4,109,102
5,136,115
5,136,110
5,136,110
5,136,110
5,131,140
5,131,160
4,108,101
4,108,101
6,164,121
6,164,121
6,164,121
6,209,182
6,209,182
6,209,182
3,61,48
4,90,70
4,90,70
4,90,68
4,90,68
4,98,102
4,90,68
4,90,68
4,90,68
4,98,102
4,122,88
4,156,145
4,92,58
4,92,76
4,79,60
4,92,76
4,92,76
4,92,76
4,92,76
4,110,86
4,110,86
4,110,86
4,110,86
4,110,101
4,110,100
4,111,78
4,90,70
4,90,70
4,119,90
6,258,176
6,258,176
12,326,262
4,91,68
4,91,68
4,91,68
4,91,68
4,91,68
2,70,101
2,70,101
2,70,101
2,80,135
4,122,84
4,122,84
4,122,84
4,122,84
4,122,64
4,122,84
4,140,120
4,134,72
5,183,123
5,183,123
5,183,123
5,183,123
8,234,155
8,234,155
8,308,184
8,304,184
4,140,175
4,92,68
4,92,68
4,92,68
4,98,102
4,110,116
4,122,88
4,156,145
4,156,145
4,156,145
4,122,88
4,122,88
4,110,116
4,110,116
4,97,69
4,103,55
4,97,69
4,97,69
4,97,69
4,97,69
4,97,69
4,97,69
4,97,69
4,97,69
4,120,97
4,120,97
6,181,152
6,181,152
6,181,152
6,181,160
6,181,200
6,181,160
4,120,97
4,152,95
4,120,97
4,152,95
4,120,95
4,152,95
4,120,95
4,152,95
4,120,97
4,152,95
4,134,142
4,90,68
4,98,102
4,90,68
4,90,68
4,98,68
4,122,88
4,156,145
4,151,143
6,194,207
6,194,207
6,194,207
8,203,288
4,121,110
4,121,110
4,121,110
4,121,110
4,121,160
4,121,160
4,97,69
4,108,73
4,108,73
4,108,82
4,108,82
4,108,94
4,108,82
4,108,111
4,108,82
4,108,94
4,108,82
4,108,111
4,92,62
4,92,62
4,92,62
4,92,62
4,92,62
4,92,62
4,98,70
4,98,70
4,110,56
4,110,56
4,98,70
4,98,70
4,98,70
4,98,70
4,98,70
4,98,112
4,98,112
4,146,116
4,146,116
4,146,116
4,146,116
4,146,116
4,146,116
4,122,92
4,110,73
4,122,92
4,122,92
4,122,92
6,171,161
6,171,161
6,171,156
6,161,156
4,97,52
4,109,85
4,97,52
4,109,85
4,109,85
4,97,68
4,109,100
4,109,90
4,109,90
5,136,110
4,97,68
4,109,88
4,141,114
4,141,114
4,141,114
4,141,114
4,130,162
4,130,162
4,141,114
4,141,160
6,173,134
6,145,106
4,141,114
